<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
CHPGR.US,D,20250623,000000,0.17,0.222,0.17,0.18,4455,0
CHPGR.US,D,20250624,000000,0.15,0.2,0.15,0.16,851121,0
CHPGR.US,D,20250625,000000,0.16,0.16,0.15,0.15,107646,0
CHPGR.US,D,20250626,000000,0.22,0.22,0.16,0.16,93071,0
CHPGR.US,D,20250627,000000,0.16,0.16,0.16,0.16,96935,0
CHPGR.US,D,20250630,000000,0.136,0.136,0.1,0.1,26362,0
CHPGR.US,D,20250701,000000,0.12,0.1701,0.1,0.13,40023,0
CHPGR.US,D,20250702,000000,0.13,0.13,0.13,0.13,196,0
CHPGR.US,D,20250703,000000,0.1241,0.1241,0.1241,0.1241,125,0
CHPGR.US,D,20250708,000000,0.144,0.176,0.144,0.16,4631,0
